Target_Class,Target,Trial_Number,Trial_Date,Ine_Duration_Sec,Ine_Prptn_Total_Sec,Joh_Duration_Sec,Joh_Prptn_Total_Sec
Jv_Scan,Jv_10,7,1-Sep-06,0,0,0,0
Jv_Scan,Jv_5,7,1-Sep-06,0,0,0,0
Jv_Scan,Jv_1,7,1-Sep-06,0,0,0,0
Jv_Scan,Jv_Contact,7,1-Sep-06,0,0,0,0
Jv_Scan,Jv_Unk,7,1-Sep-06,6291,1,6291,1
InfCarr,InfCarrTRUE,7,1-Sep-06,0,0,0,0
Behav,Travel,7,1-Sep-06,618,0.098235575,594,0.094420601
Behav,Forage,7,1-Sep-06,142,0.022571928,198,0.031473534
Behav,Vocal,7,1-Sep-06,26,0.004132888,30,0.004768717
Behav,Rest,7,1-Sep-06,4381,0.696391671,4320,0.686695279
Behav,OOV,7,1-Sep-06,1124,0.178667938,1149,0.182641869
Height,Height_1,7,1-Sep-06,0,0,0,0
Height,Height_5,7,1-Sep-06,211,0.033539978,172,0.027340645
Height,Height_10,7,1-Sep-06,918,0.145922747,924,0.14687649
Height,Height_20,7,1-Sep-06,3385,0.538070259,3410,0.54204419
Height,Height_High,7,1-Sep-06,0,0,0,0
Height,Height_Unk,7,1-Sep-06,1777,0.282467016,1785,0.283738674
Light,Full_Shade,7,1-Sep-06,243,0.038626609,738,0.117310443
Light,Part_Shade,7,1-Sep-06,777,0.123509776,414,0.065808298
Light,Small_Gap,7,1-Sep-06,1032,0.164043872,3259,0.518041647
Light,Large_Gap,7,1-Sep-06,16,0.002543316,95,0.015100938
Light,Light_Unk,7,1-Sep-06,4223,0.671276427,1785,0.283738674
Weather,Clear,8,30-Sep-06,0,0,0,0
Weather,Sun/Cloud,8,30-Sep-06,5602,1,5603,1
Weather,Cloud,8,30-Sep-06,0,0,0,0
Weather,Rain,8,30-Sep-06,0,0,0,0
Weather,WeatherUnk,8,30-Sep-06,0,0,0,0
Ad_Scan,Ad_10,8,30-Sep-06,741,0.132274188,952,0.169908977
Ad_Scan,Ad_5,8,30-Sep-06,3993,0.71278115,4019,0.717294307
Ad_Scan,Ad_1,8,30-Sep-06,217,0.038736166,209,0.037301446
Ad_Scan,Ad_Unk,8,30-Sep-06,651,0.116208497,423,0.07549527
Jv_Scan,Jv_Far,8,30-Sep-06,0,0,0,0
Jv_Scan,Jv_10,8,30-Sep-06,0,0,0,0
Jv_Scan,Jv_5,8,30-Sep-06,2923,0.521777936,5180,0.92450473
Jv_Scan,Jv_1,8,30-Sep-06,0,0,0,0
Jv_Scan,Jv_Contact,8,30-Sep-06,0,0,0,0
Jv_Scan,Jv_Unk,8,30-Sep-06,2679,0.478222064,423,0.07549527
InfCarr,InfCarrTRUE,8,30-Sep-06,0,0,0,0
Behav,Travel,8,30-Sep-06,938,0.1674402,1061,0.189362841
Behav,Forage,8,30-Sep-06,1094,0.195287397,1328,0.237015884
Behav,Rest,8,30-Sep-06,2003,0.357550875,2070,0.36944494
Behav,OOV,8,30-Sep-06,1112,0.198500536,1144,0.204176334
Height,Height_1,8,30-Sep-06,0,0,0,0
Height,Height_5,8,30-Sep-06,1435,0.256158515,1596,0.284847403
Height,Height_10,8,30-Sep-06,1104,0.197072474,812,0.144922363
Height,Height_20,8,30-Sep-06,949,0.169403784,953,0.170087453
Height,Height_High,8,30-Sep-06,0,0,0,0
Height,Height_Unk,8,30-Sep-06,2114,0.377365227,2242,0.400142781
Light,Full_Shade,8,30-Sep-06,167,0.029810782,233,0.041584865
Light,Part_Shade,8,30-Sep-06,1363,0.243305962,2275,0.406032483
Light,Small_Gap,8,30-Sep-06,603,0.107640129,853,0.152239871
Light,Large_Gap,8,30-Sep-06,18,0.003213138,0,0
Light,Light_Unk,8,30-Sep-06,3451,0.616029989,2242,0.400142781
