GroupName,GroupCat,GroupCode,Sex,SexCode,InvSexCode,IndivCode,IndivID,Vision,VisionCode,InvVisionCode,DateIndex,BirthWeek,DayNum,WeekNum,Season,SeasonCode,MinTemp,MaxTemp,Rainfallmm,EnergyStress,InfDepend,InfDepCode,InvInfDepCode,TimeTravelh,TimeTravelday,YORTotal,CrypTotal,LuminTotal,DimTotal,BrightTotal,UnkLightTotal,PatchTotal
C,1,3,Female,1,0,3,3F,Tri,1,0,14-Sep-06,56,257,38,Dry,0,22,30.5,0,FALSE,FALSE,0,1,2.031388889,0.1693,1,2,2,11,4,2,17
C,1,3,Male,0,1,9,3M2,Di,0,1,14-Sep-06,56,257,38,Dry,0,22,30.5,0,FALSE,FALSE,0,1,1.678055556,0.1398,1,2,2,8,3,0,11
C,1,3,Female,1,0,3,3F,Tri,1,0,5-Oct-06,2,278,41,Wet,1,21,29.5,0.508,TRUE,TRUE,1,0,0.859166667,0.0716,2,1,0,5,4,2,11
C,1,3,Male,0,1,9,3M2,Di,0,1,5-Oct-06,2,278,41,Wet,1,21,29.5,0.508,TRUE,TRUE,1,0,0.744444444,0.062,1,0,1,1,1,0,2
S,0,4,Female,1,0,4,SF,Di,0,1,22-Mar-06,48,81,12,Wet,1,22,25,0.508,FALSE,FALSE,0,1,0.723611111,0.0603,0,0,0,0,0,0,0
S,0,4,Male,0,1,10,SM,Di,0,1,22-Mar-06,48,81,12,Wet,1,22,25,0.508,FALSE,FALSE,0,1,0.711388889,0.0593,0,0,0,1,0,0,1
S,0,4,Female,1,0,4,SF,Di,0,1,28-Mar-06,49,87,13,Wet,1,22,28,0.508,FALSE,FALSE,0,1,0.452222222,0.0377,1,0,1,0,1,0,1
S,0,4,Male,0,1,10,SM,Di,0,1,28-Mar-06,49,87,13,Wet,1,22,28,0.508,FALSE,FALSE,0,1,0.609166667,0.0508,0,0,0,0,0,0,0
S,0,4,Female,1,0,4,SF,Di,0,1,5-Apr-06,50,95,14,Wet,1,22,24,31.75,FALSE,FALSE,0,1,0.461388889,0.0385,1,0,1,1,0,0,1
S,0,4,Male,0,1,10,SM,Di,0,1,5-Apr-06,50,95,14,Wet,1,22,24,31.75,FALSE,FALSE,0,1,0.454444444,0.0379,1,1,1,2,0,0,2
S,0,4,Female,1,0,4,SF,Di,0,1,6-Apr-06,50,96,15,Wet,1,23,27,0.508,FALSE,FALSE,0,1,0.596666667,0.0497,0,0,0,0,0,0,0
